Riga;Canzone;Artista;Genere;Prompt;Listens;Version
11;It My Life my way;TenBrahthum;Indie Rock;indie rock, acoustic/electric mix, catchy melody, tambourine;2800;5
16;low light (ft. Bleeder);astronaut;Indie Rock;lo-fi indie rock, bedroom vibe, raw vocal, minimal production;8600;5
20;Mr Nice Guy;xyloshum;Indie Rock;indie rock, groovy bass, distorted guitars, dynamic vocals;5800;5
4;The Cinderbloc Choir - Pressure;Ephyxen;Indie Rock;anthemic rock, energetic guitars, explosive chorus, layered vocals;2700;5
10;Hymn to a Joy;Ben Grain;Indie Rock;upbeat indie rock, punchy drums, melodic hooks, energetic chorus;9200;5
