"Riga","Canzone","Artista","Genere","Prompt","Listens","Version"
11,"addicted","l a n e","Pop","alt pop, chopped vocals, dreamy synths, lo-fi textures",45000,5
13,"footnote","Northern spinn","Pop","storytelling pop, urban imagery, reflective lyrics",43000,5
9,"20250928","Nanashi_Zero","Pop","soft whispery pop, dreamy atmosphere, introspective mood",41000,5
6,"Hearts & Strings (Remix)","Athenaremixes","Pop","romantic dream pop, lush textures, magical vibe",42000,5
2,"I Never Knew","GeneuWeen","Pop","contemporary pop love song, smooth silky vocals, atmospheric synths",108000,5
